System Informer 3.2.2103
Windows NT 10.0 (64-bit)
6:10:45 AM 20/07/2026

TID	CPU	Start address																																				Priority (symbolic)	Priority	CPU (user)	Cycles		Cycles delta	Context switches	Ideal processor	Name		Priority boost	Service	Stack usage		Start module															
10688	0.86	Overwatch.exe+0x265a4e8																																			Normal			9		0.65		1,268,017,918	691,909		404,994			0:9							204 kB | 1 MB (19.92%)																	
11188		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,876,723			209,539			0:7							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11236		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,870,404			209,031			0:3							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11200		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,827,469			209,930			0:10							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11204		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,824,719			208,999			0:11							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11192		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,823,643			209,266			0:8							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11224		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,822,544			208,232			0:0							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11208		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,820,824			209,787			0:12							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11220		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,820,225			208,424			0:15							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11216		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,817,207			209,396			0:14							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11240		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,791,614			208,534			0:4							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
