System Informer 3.2.2103
Windows NT 10.0 (64-bit)
5:41:22 AM 20/07/2026

TID	CPU	Start address																																				Priority (symbolic)	Priority	CPU (user)	Cycles		Cycles delta	Context switches	Ideal processor	Name		Priority boost	Service	Stack usage		Start module															
11188		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,684,795			206,531			0:7							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11216		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,683,626			206,348			0:14							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11220		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,674,502			205,402			0:15							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11204		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,670,949			205,943			0:11							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11240		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,660,249			205,524			0:4							8 kB | 1 MB (0.78%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11224		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,640,201			205,152			0:0							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11184		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				4,635,631			204,489			0:6							40 kB | 1 MB (3.91%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11152		Overwatch.exe+0x2678fa0																																			Normal			9				4,467,441			10,884			0:14							20 kB | 1 MB (1.95%)																	
11048	0.03	Overwatch.exe+0x283fd90																																			Above normal		10		0.01		4,257,503	20,464		22,967			0:15							128 kB | 1 MB (12.50%)																	
11140		Overwatch.exe+0x2678fa0																																			Normal			9				2,829,435			10,617			0:11							32 kB | 1 MB (3.12%)																	
11148		Overwatch.exe+0x2678fa0																																			Normal			9				2,597,333			10,578			0:13							12 kB | 1 MB (1.17%)																	
11144		Overwatch.exe+0x2678fa0																																			Normal			9				2,529,099			10,674			0:12							12 kB | 1 MB (1.17%)																	
11136		Overwatch.exe+0x2678fa0																																			Normal			9				1,306,406			28,803			0:10							16 kB | 1 MB (1.56%)																	
11060		Overwatch.exe+0x2679008																																			Normal			8				1,104,028	7,047		497			0:2							36 kB | 1 MB (3.52%)																	
11068		Overwatch.exe+0x2679008																																			Time critical		15				771,581		3,138		39,911			0:4							8 kB | 1 MB (0.78%)																	
10980		Overwatch.exe+0x2678fa0																																			Normal			9				284,800		1,512		10,657			0:8							32 kB | 1 MB (3.12%)																	
11168		bink2w64.dll!BinkOpenXAudio29+0xab40																																	Normal			9				256,646				70			0:2		BinkAsy0				96 kB | 1 MB (9.38%)	\Device\HarddiskVolume3\Program Files (x86)\Overwatch\_retail_\bink2w64.dll							
11172		bink2w64.dll!BinkOpenXAudio29+0xab40																																	Normal			9				242,469				76			0:3		BinkAsy1				96 kB | 1 MB (9.38%)	\Device\HarddiskVolume3\Program Files (x86)\Overwatch\_retail_\bink2w64.dll							
1652		Overwatch.exe+0x2678fa0																																			Normal			8				167,274		731		195			0:11							64 kB | 1 MB (6.25%)																	
11080		Overwatch.exe+0x2678fa0																																			Normal			8				138,694		486		1,929			0:6							128 kB | 1 MB (12.50%)																	
